Measure;Age;Li7;Mg24;Ca43;Mn55;Fe57;Rb85;Sr86;Sr87;Cd114;Ba138;Hg202;Pb208
0;0;3.16E-06;0.000184487;1;1.58E-05;NA;NA;0.006491627;0.007005574;NA;8.26E-06;NA;NA
12.922;0;NA;0.000136831;1;1.01E-05;NA;NA;0.006680392;0.005246498;NA;9.33E-06;NA;NA
25.851;0;2.91E-06;0.000174645;1;1.31E-05;NA;NA;0.006575976;0.006581616;NA;1.24E-05;4.98E-07;NA
38.78;0;NA;0.000142103;1;1.27E-05;NA;NA;0.006246108;0.006358837;NA;1.59E-05;NA;NA
51.702;0;3.33E-06;0.00013933;1;1.19E-05;NA;7.93E-06;0.005994268;0.006088443;NA;1.67E-05;NA;NA
64.631;0;NA;0.000120655;1;1.03E-05;NA;1.08E-05;0.0060873;0.006478427;NA;2.17E-05;NA;NA
77.56;0;3.18E-06;0.000113342;1;9.09E-06;NA;NA;0.005819699;0.006301511;NA;2.56E-05;NA;1.25E-07
90.482;0;NA;8.88E-05;1;7.39E-06;NA;NA;0.005710851;0.005858815;NA;2.51E-05;NA;1.22E-07
103.411;0;NA;8.40E-05;1;9.95E-06;NA;NA;0.005823856;0.006136204;NA;2.88E-05;NA;NA
116.340007;0;2.93E-06;7.90E-05;1;6.56E-06;NA;NA;0.005235711;0.005482227;NA;3.11E-05;NA;NA
129.261993;0;NA;8.10E-05;1;8.39E-06;NA;NA;0.005034147;0.004908422;NA;3.58E-05;NA;NA
142.190993;0;NA;9.23E-05;1;1.27E-05;NA;NA;0.005797894;0.005379856;NA;4.66E-05;NA;NA
155.12;0;NA;8.12E-05;1;1.14E-05;NA;NA;0.005280648;0.005548995;NA;5.24E-05;5.96E-07;NA
168.042;0;NA;8.90E-05;1;9.57E-06;NA;9.68E-06;0.005509007;0.004816458;NA;6.08E-05;NA;NA
180.971;0;NA;7.28E-05;1;8.86E-06;NA;NA;0.005256723;0.005266254;NA;6.33E-05;NA;NA
193.900007;0;NA;7.27E-05;1;7.03E-06;NA;NA;0.005385457;0.005065803;NA;6.06E-05;NA;NA
206.821993;0;NA;6.84E-05;1;4.98E-06;NA;NA;0.004922569;0.005373169;NA;6.80E-05;NA;NA
219.750993;0;NA;7.13E-05;1;3.94E-06;6.43E-05;NA;0.005384655;0.005283085;NA;6.14E-05;NA;NA
232.68;0;NA;5.78E-05;1;3.70E-06;0.000141048;NA;0.0057253;0.005691109;NA;7.14E-05;NA;NA
245.602;0;NA;5.96E-05;1;NA;NA;9.99E-06;0.00513856;0.005734867;NA;6.68E-05;NA;NA
258.531;0;3.06E-06;5.20E-05;1;NA;NA;NA;0.005105231;0.004398636;NA;6.44E-05;NA;NA
271.46;0;NA;4.31E-05;1;NA;NA;9.22E-06;0.004916321;0.005207356;NA;6.02E-05;7.86E-07;NA
284.382007;0;NA;5.44E-05;1;NA;NA;1.05E-05;0.005547911;0.005582214;NA;6.21E-05;NA;NA
297.311007;0;NA;5.00E-05;1;NA;NA;NA;0.005853454;0.005262406;NA;4.48E-05;NA;NA
310.240007;0;NA;4.89E-05;1;NA;NA;NA;0.00570827;0.006225779;NA;4.55E-05;NA;1.30E-07
323.161986;0;NA;5.30E-05;1;NA;NA;NA;0.006372263;0.00645347;NA;4.13E-05;NA;NA
336.090986;0;NA;5.38E-05;1;NA;NA;NA;0.006773836;0.006553346;NA;2.90E-05;NA;2.42E-07
349.019986;0;NA;4.92E-05;1;NA;6.10E-05;NA;0.006662761;0.006359609;5.35E-06;3.89E-05;NA;NA
361.941993;0;NA;4.99E-05;1;NA;NA;NA;0.006755678;0.006017442;NA;3.11E-05;NA;NA
374.870993;0;NA;5.10E-05;1;NA;NA;NA;0.006205251;0.006322137;NA;3.64E-05;NA;NA
387.799993;0;NA;4.57E-05;1;NA;NA;NA;0.005605321;0.005742935;NA;3.50E-05;5.54E-07;NA
400.728993;0;NA;4.78E-05;1;NA;9.81E-05;NA;0.006094754;0.006151902;NA;3.77E-05;NA;NA
413.651;0;NA;4.57E-05;1;NA;NA;NA;0.005386805;0.005479277;NA;3.80E-05;NA;NA
426.579972;0;NA;4.21E-05;1;NA;NA;NA;0.006136257;0.005408882;NA;3.59E-05;NA;NA
439.508979;0;5.53E-06;4.95E-05;1;NA;NA;NA;0.006525526;0.006631932;NA;4.55E-05;NA;NA
452.430979;0;NA;4.18E-05;1;NA;NA;NA;0.006110352;0.005864387;NA;4.32E-05;NA;NA
465.359979;0;NA;4.98E-05;1;NA;NA;NA;0.006041606;0.006730454;NA;4.77E-05;5.19E-07;NA
478.288979;0;NA;5.63E-05;1;NA;0.000105022;NA;0.006811313;0.007170459;NA;4.51E-05;NA;NA
491.210986;0;NA;5.36E-05;1;NA;7.35E-05;NA;0.006632354;0.006177995;NA;4.25E-05;NA;NA
504.139986;0;NA;4.93E-05;1;NA;NA;NA;0.006061172;0.005610632;NA;4.56E-05;NA;NA
517.068986;0;NA;4.44E-05;1;NA;7.72E-05;NA;0.006554176;0.006162607;NA;3.86E-05;NA;NA
529.990993;0;NA;5.30E-05;1;NA;NA;NA;0.005837279;0.00622889;NA;4.52E-05;NA;NA
542.919993;0;NA;4.81E-05;1;NA;0.000101431;NA;0.006234639;0.006564438;NA;3.68E-05;NA;NA
555.848993;0;NA;4.91E-05;1;NA;6.42E-05;NA;0.006253763;0.005616408;NA;3.43E-05;NA;NA
568.771;0;NA;6.01E-05;1;NA;NA;NA;0.00599549;0.005941953;NA;2.87E-05;NA;NA
581.7;0;NA;5.24E-05;1;NA;0.000100736;NA;0.005063519;0.005027906;NA;2.17E-05;5.38E-07;NA
594.629;0;NA;5.98E-05;1;NA;7.11E-05;NA;0.005619367;0.005609481;NA;2.77E-05;NA;NA
607.551007;0;NA;5.72E-05;1;NA;NA;NA;0.005601069;0.005431589;NA;2.19E-05;NA;NA
620.480007;0;NA;4.57E-05;1;NA;NA;NA;0.005636291;0.00564107;NA;1.78E-05;NA;NA
633.409007;1;NA;4.37E-05;1;NA;NA;1.27E-05;0.005987992;0.00623702;6.79E-06;1.33E-05;NA;NA
646.331014;1;NA;3.94E-05;1;NA;NA;NA;0.00683704;0.006101535;NA;1.13E-05;6.36E-07;NA
659.260014;1;NA;4.71E-05;1;NA;NA;NA;0.006587076;0.007568535;NA;8.64E-06;NA;NA
672.189014;1;NA;5.07E-05;1;NA;NA;NA;0.006740568;0.006055533;NA;6.76E-06;NA;NA
685.111021;1;NA;4.76E-05;1;NA;NA;NA;0.006405256;0.006865906;NA;1.09E-05;NA;NA
698.040021;1;NA;4.86E-05;1;NA;NA;NA;0.006102392;0.005582383;NA;1.21E-05;NA;NA
710.969021;1;NA;4.70E-05;1;NA;NA;NA;0.005883221;0.006146658;NA;1.82E-05;NA;NA
723.891028;1;NA;4.75E-05;1;NA;NA;NA;0.006716078;0.006372109;NA;1.93E-05;NA;NA
736.820028;1;3.10E-06;5.27E-05;1;NA;NA;1.02E-05;0.006140066;0.007214437;NA;2.02E-05;7.85E-07;NA
749.748972;1;NA;4.46E-05;1;NA;NA;NA;0.006805559;0.005707512;NA;2.01E-05;NA;NA
762.670979;1;4.10E-06;4.58E-05;1;NA;NA;NA;0.006555087;0.006541086;NA;2.63E-05;5.82E-07;NA
775.599979;1;NA;5.04E-05;1;NA;NA;NA;0.006254387;0.006457286;NA;2.85E-05;NA;NA
788.528979;1;NA;4.30E-05;1;NA;NA;8.00E-06;0.007968329;0.006167114;NA;3.76E-05;NA;NA
801.450986;2;NA;4.54E-05;1;NA;NA;7.98E-06;0.006980529;0.007668906;NA;4.09E-05;NA;NA
814.379986;2;NA;5.03E-05;1;NA;NA;NA;0.008476855;0.007737698;NA;4.02E-05;NA;NA
827.308986;2;NA;4.31E-05;1;NA;7.19E-05;NA;0.008412202;0.009039734;NA;2.64E-05;NA;NA
840.230993;2;NA;4.03E-05;1;NA;NA;NA;0.008909489;0.008451406;NA;2.09E-05;NA;NA
853.159993;2;NA;4.61E-05;1;NA;NA;NA;0.008566604;0.009996225;NA;1.59E-05;NA;NA
866.088993;2;NA;4.87E-05;1;NA;NA;NA;0.008701289;0.008582873;NA;1.46E-05;NA;NA
879.011049;2;NA;5.05E-05;1;NA;NA;NA;0.008393167;0.009380753;NA;2.09E-05;NA;NA
891.940049;2;NA;5.61E-05;1;NA;NA;NA;0.00917836;0.008561219;NA;2.07E-05;NA;NA
904.869056;2;NA;4.79E-05;1;NA;NA;NA;0.008765314;0.008494273;NA;2.33E-05;NA;NA
917.791007;2;NA;5.77E-05;1;NA;NA;NA;0.008402045;0.007703338;NA;2.53E-05;NA;NA
930.720007;3;NA;5.96E-05;1;NA;NA;NA;0.008375566;0.008741598;NA;2.91E-05;NA;1.34E-07
943.649007;3;NA;4.77E-05;1;NA;7.27E-05;NA;0.008405326;0.008170269;NA;2.18E-05;NA;NA
956.570958;3;NA;4.59E-05;1;NA;8.59E-05;NA;0.009173517;0.008208402;NA;2.00E-05;NA;NA
969.499958;3;NA;4.98E-05;1;NA;NA;NA;0.008757198;0.009336162;NA;1.28E-05;5.18E-07;NA
982.428958;3;NA;4.21E-05;1;NA;NA;NA;0.007911256;0.007099075;5.00E-06;6.79E-06;NA;NA
995.351014;3;NA;5.08E-05;1;NA;NA;NA;0.0077188;0.007961293;NA;7.34E-06;6.86E-07;NA
1008.280021;3;NA;4.40E-05;1;NA;NA;NA;0.008075714;0.006527574;NA;6.82E-06;NA;NA
1021.209021;3;NA;5.43E-05;1;NA;8.00E-05;NA;0.007708787;0.009969894;NA;6.80E-06;NA;NA
1034.130972;3;NA;4.28E-05;1;NA;NA;NA;0.007864793;0.007020111;NA;6.02E-06;NA;NA
1047.059972;3;NA;5.43E-05;1;NA;NA;NA;0.008976359;0.009112635;NA;1.04E-05;NA;NA
1059.988972;3;NA;5.22E-05;1;NA;NA;NA;0.00826808;0.007173851;NA;1.33E-05;NA;NA
1072.911028;4;NA;5.77E-05;1;NA;NA;NA;0.008837619;0.009452268;NA;2.42E-05;NA;NA
1085.840028;4;NA;5.66E-05;1;NA;NA;NA;0.007907378;0.007371746;NA;2.08E-05;NA;NA
1098.769035;4;NA;5.73E-05;1;NA;NA;NA;0.007571275;0.007549633;NA;2.09E-05;NA;NA
1111.690986;4;NA;3.73E-05;1;NA;NA;NA;0.007376349;0.006657391;NA;1.14E-05;NA;NA
1124.619986;4;NA;4.87E-05;1;NA;0.000134557;NA;0.00787869;0.007741003;NA;9.26E-06;NA;NA
1137.548986;4;NA;4.55E-05;1;NA;NA;9.26E-06;0.007712694;0.007640657;NA;4.69E-06;NA;NA
1150.477986;4;NA;5.20E-05;1;NA;0.000121697;7.49E-06;0.008561347;0.007634635;NA;6.52E-06;NA;NA
1163.400042;4;NA;4.89E-05;1;NA;NA;NA;0.007974921;0.007893287;NA;5.01E-06;NA;NA
1176.329042;4;NA;5.12E-05;1;NA;NA;NA;0.007599244;0.007963213;NA;7.42E-06;NA;NA
1189.258042;4;NA;5.65E-05;1;NA;9.52E-05;NA;0.007627473;0.009611844;NA;6.91E-06;NA;NA
1202.18;5;NA;3.94E-05;1;2.38E-06;NA;NA;0.007563048;0.005494485;NA;6.92E-06;7.06E-07;NA
1215.109;5;NA;6.43E-05;1;NA;NA;NA;0.007783886;0.010182415;NA;9.90E-06;NA;NA
1228.038;5;NA;4.74E-05;1;NA;NA;NA;0.007673936;0.006545211;NA;8.25E-06;NA;NA
1240.959951;5;NA;5.05E-05;1;NA;NA;NA;0.008610686;0.01088226;NA;7.51E-06;5.61E-07;NA
1253.888951;5;NA;3.88E-05;1;NA;9.58E-05;NA;0.009474843;0.008410185;NA;6.09E-06;NA;NA
1266.817951;5;NA;4.58E-05;1;NA;NA;NA;0.01074374;0.010559405;NA;7.12E-06;NA;1.31E-07
1279.740007;5;4.06E-06;5.02E-05;1;NA;9.90E-05;NA;0.010140721;0.010360757;NA;6.80E-06;NA;NA
1292.669007;5;NA;5.54E-05;1;NA;NA;NA;0.009416909;0.009737394;NA;7.20E-06;NA;NA
1305.598014;6;NA;5.45E-05;1;NA;NA;NA;0.00918147;0.008736101;NA;5.61E-06;5.25E-07;NA
1318.519965;6;NA;4.26E-05;1;NA;NA;NA;0.008594124;0.00831925;NA;6.37E-06;NA;NA
1331.448965;6;NA;5.17E-05;1;NA;NA;NA;0.009254138;0.009490789;NA;4.70E-06;NA;NA
1344.377965;6;NA;4.75E-05;1;NA;6.46E-05;NA;0.010327518;0.009647284;NA;6.24E-06;NA;NA
1357.300021;6;NA;5.53E-05;1;NA;NA;NA;0.00956288;0.008941219;NA;5.98E-06;NA;NA
1370.229021;6;NA;5.17E-05;1;NA;NA;NA;0.009005303;0.007680752;NA;7.20E-06;NA;NA
1383.158021;6;NA;5.57E-05;1;NA;9.11E-05;NA;0.008467079;0.010239648;NA;7.85E-06;NA;NA
1396.079972;6;NA;4.73E-05;1;2.92E-06;NA;NA;0.007542589;0.006804171;NA;5.86E-06;NA;NA
1409.008979;7;NA;6.28E-05;1;NA;NA;NA;0.009454637;0.010795251;NA;8.49E-06;NA;NA
1421.937979;7;NA;5.42E-05;1;NA;NA;NA;0.009028488;0.008371022;NA;6.41E-06;NA;NA
1434.860035;7;NA;5.51E-05;1;NA;NA;NA;0.009301867;0.01050854;NA;6.51E-06;NA;NA
1447.789035;7;NA;5.10E-05;1;NA;NA;NA;0.009797926;0.009930655;NA;6.41E-06;NA;NA
1460.718035;7;NA;3.98E-05;1;NA;NA;NA;0.009175807;0.00907457;NA;6.58E-06;NA;NA
1473.639986;7;NA;5.11E-05;1;NA;9.35E-05;NA;0.008729805;0.008695744;NA;6.89E-06;NA;NA
1486.568986;7;NA;5.17E-05;1;NA;NA;NA;0.007884043;0.007754774;NA;8.38E-06;7.16E-07;NA
1499.497993;8;NA;4.90E-05;1;NA;9.38E-05;NA;0.007751927;0.007482498;NA;5.38E-06;6.12E-07;NA
1512.420049;8;NA;3.72E-05;1;NA;NA;NA;0.008370315;0.006942874;NA;7.78E-06;NA;NA
1525.349049;8;NA;5.61E-05;1;NA;7.05E-05;NA;0.007694934;0.008934677;NA;5.52E-06;NA;NA
1538.278049;8;NA;4.75E-05;1;NA;NA;NA;0.008202671;0.008907739;NA;6.63E-06;NA;NA
1551.2;8;NA;4.80E-05;1;NA;NA;8.16E-06;0.007245682;0.007106689;NA;6.10E-06;NA;NA
1564.129;8;NA;4.69E-05;1;NA;5.61E-05;NA;0.006111427;0.005340126;NA;5.31E-06;NA;NA
1577.058;8;NA;5.13E-05;1;NA;NA;NA;0.006881235;0.007424454;NA;5.38E-06;NA;NA
1589.979951;8;NA;3.89E-05;1;NA;NA;NA;0.00725012;0.006186148;NA;5.81E-06;NA;NA
1602.908958;8;NA;4.85E-05;1;NA;NA;NA;0.006606901;0.008962176;NA;1.09E-05;NA;NA
1615.837958;9;NA;4.56E-05;1;NA;NA;NA;0.006647943;0.00500025;NA;1.04E-05;4.27E-07;NA
1628.760014;9;NA;5.68E-05;1;NA;NA;NA;0.006852189;0.007710438;NA;2.35E-05;NA;NA
1641.689014;9;NA;4.40E-05;1;NA;6.75E-05;NA;0.004802024;0.003975655;NA;1.55E-05;NA;NA
1654.618014;9;NA;5.31E-05;1;NA;NA;NA;0.005641944;0.006134042;NA;2.65E-05;NA;NA
1667.539965;9;NA;5.44E-05;1;NA;NA;8.61E-06;0.0058651;0.00557133;NA;2.43E-05;5.16E-07;NA
1680.468965;9;NA;4.92E-05;1;NA;NA;NA;0.00536743;0.005225854;NA;3.03E-05;5.31E-07;NA
1693.397965;9;NA;4.12E-05;1;NA;NA;NA;0.005225253;0.005349943;NA;2.42E-05;NA;NA
1706.320028;9;NA;4.38E-05;1;2.92E-06;NA;NA;0.00507065;0.004835831;NA;3.06E-05;NA;NA
1719.249028;9;NA;4.76E-05;1;NA;NA;NA;0.004620657;0.00470467;NA;2.51E-05;1.04E-06;NA
1732.178028;9;NA;4.30E-05;1;NA;8.47E-05;NA;0.005091159;0.004410895;NA;2.49E-05;7.26E-07;NA
1745.099979;9;NA;6.36E-05;1;NA;NA;NA;0.005204662;0.005938923;NA;2.40E-05;NA;1.49E-07
1758.028979;10;NA;3.73E-05;1;NA;0.000107738;NA;0.004800991;0.004257343;NA;1.76E-05;NA;NA
1770.957979;10;NA;4.81E-05;1;NA;0.000136963;NA;0.004602424;0.004777264;NA;1.88E-05;NA;NA
1783.880042;10;NA;4.36E-05;1;2.78E-06;NA;NA;0.004644905;0.00426858;NA;1.79E-05;NA;NA
1796.80893;10;NA;6.12E-05;1;NA;NA;NA;0.004797055;0.005333699;NA;2.07E-05;9.36E-07;NA
1809.738042;10;3.66E-06;7.09E-05;1;NA;NA;NA;0.004359389;0.004642076;NA;1.91E-05;NA;2.38E-06
1822.660098;10;NA;8.87E-05;1;4.95E-06;0.000151732;NA;0.00499137;0.004218978;NA;1.10E-05;NA;3.02E-07
